4951,Company,Industry,Industry-Sub,Location,Year,Notes/References,Glassdoor Overall Star Rating (out of 5),Glassdoor Reviews Total,Indeed Overall Star Rating (out of 5),Indeed Reviews Total,Comparably Overall Star Rating,Comparably Reviews Total,,,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989,"Glassdoor source: https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm
Indeed source: https://www.indeed.com/cmp/Accenture/reviews
Comparably source: https://www.comparably.com/companies/accenture",3.9,137470,4,25918,4,13324,,,,
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1982,"Glassdoor source: https://www.glassdoor.com/Reviews/Adobe-Reviews-E1090.htm
Indeed source: https://www.indeed.com/cmp/Adobe
Comparably source: https://www.comparably.com/companies/amd",4.3,5384,4.3,814,4.9,26446,,,,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",1969,"Glassdoor source: https://www.glassdoor.com/Reviews/AMD-Reviews-E15.htm
Indeed source: https://www.indeed.com/cmp/Adobe
Comparably source: https://www.comparably.com/companies/amd",4.1,3769,4.3,814,4.5,3058,,,,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2008,"Glassdoor source: https://www.glassdoor.com/Reviews/Airbnb-Reviews-E391850.htm
Indeed source: https://www.indeed.com/cmp/Airbnb/reviews
Comparably source: https://www.comparably.com/companies/airbnb",4.3,1943,4.2,596,4.2,3544,,,,
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998,"Glassdoor source: https://www.glassdoor.com/Reviews/Akamai-Reviews-E9219.htm
Indeed source: https://www.indeed.com/cmp/Akamai-7/reviews
Comparably source: https://www.comparably.com/companies/akamai",4.5,2833,4.1,262,4.5,1946,,,,
GOOGL,Google (Alphabet Inc.) ,Communication Services,Interactive Media & Services,"Mountain View, California",1998,"(Though Google is a subsidiary of Alphabet Inc., due to sparse employee reviews & unavailable distinct ratings for both Class A & C, I made the decision to merge both Alphabet Inc. Class A, Class C under their subsidiary Google)

Glassdoor source: https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm
Indeed source: https://www.indeed.com/cmp/Google/reviews
Comparably source: https://www.comparably.com/companies/google",4.4,35776,4.3,5335,4.6,75699,,,,
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1985,"Glassdoor source: https://www.glassdoor.com/Reviews/Altria-Reviews-E528.htm
Indeed source: https://www.indeed.com/cmp/Altria/reviews
Comparably source: https://www.comparably.com/companies/altria",3.9,1189,4,626,3.9,728,,,,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1994,"Glassdoor source: https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm
Indeed source: https://www.indeed.com/cmp/Amazon.com/reviews
Comparably source: https://www.comparably.com/companies/amazon",3.7,166882,3.5,47695,4.2,115140,,,,
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",1932,"Glassdoor source: https://www.glassdoor.com/Reviews/Amphenol-Reviews-E1967.htm
Indeed source: https://www.indeed.com/cmp/Amphenol-Canada-1/reviews?start=60
Comparably source: https://www.comparably.com/companies/amphenol-corporation",3.9,475,3.6,835,3.5,222,,,,
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1965,"Glassdoor source: https://www.glassdoor.com/Reviews/Analog-Devices-Reviews-E49.htm
Indeed source: https://www.indeed.com/cmp/Analog-Devices/reviews
Comparably source: https://www.comparably.com/companies/analog-devices",4,2204,3.9,895,3.8,1291,,,,
